sensor,pulses,rpm,period_us,age_ms
vacuum1,4,2138,28031,5
vacuum1,3,2137,28094,20
vacuum1,4,2136,28093,8
vacuum1,3,2139,28027,24
vacuum1,4,2139,28030,12
vacuum1,3,2138,28033,28
vacuum1,4,2139,28095,15
vacuum1,4,2139,28036,3
vacuum1,3,2137,28094,19
vacuum1,4,2139,28032,7
vacuum1,3,2138,28036,23
vacuum1,4,2137,28034,10
vacuum1,3,2137,28095,26
vacuum1,4,2139,28034,14
vacuum1,4,2136,28097,2
vacuum1,3,2137,28034,17
vacuum1,4,2137,28033,5
vacuum1,3,2138,28034,21
vacuum1,4,2138,28032,9
vacuum1,3,2138,28031,24
vacuum1,4,2138,28030,12
vacuum1,4,2138,28031,0
vacuum1,3,2135,28092,16
vacuum1,4,2138,28030,3
vacuum1,3,2138,28032,19
vacuum1,4,2136,28092,7
vacuum1,3,2139,28030,23
vacuum1,4,2137,28090,11
vacuum1,3,2139,28088,26
vacuum1,4,2138,28094,14
vacuum1,4,2139,28031,2
vacuum1,3,2138,28032,18
vacuum1,4,2136,28094,5
vacuum1,3,2138,28098,21
vacuum1,4,2139,28034,9
vacuum1,3,2138,28037,25
vacuum1,4,2137,28097,13
vacuum1,4,2138,28098,0
vacuum1,3,2138,28037,16
vacuum1,4,2137,28100,4
vacuum1,3,2135,28098,20
vacuum1,4,2137,28037,7
vacuum1,3,2138,28099,23
vacuum1,4,2137,28038,11
vacuum1,3,2138,28037,27
vacuum1,4,2138,28037,15
vacuum1,4,2137,28042,2
vacuum1,3,2138,28038,18
vacuum1,4,2137,28039,6
vacuum1,3,2137,28095,22
vacuum1,4,2140,28034,10
vacuum1,3,2138,28032,25
vacuum1,4,2137,28099,13
vacuum1,4,2137,28098,1
vacuum1,3,2138,28035,17
vacuum1,4,2137,28095,4
vacuum1,3,2138,28038,20
vacuum1,4,2137,28038,8
vacuum1,3,2136,28034,24
vacuum1,4,2137,28099,11
vacuum1,3,2136,28097,27
vacuum1,4,2139,28035,15
vacuum1,4,2136,28098,3
vacuum1,3,2137,28098,18
vacuum1,4,2135,28094,6
vacuum1,3,2133,28158,22
vacuum1,4,2133,28099,9
vacuum1,3,2133,28098,25
vacuum1,4,2132,28160,12
vacuum1,3,2126,28220,28
vacuum1,4,2126,28219,15
vacuum1,4,2126,28221,2
vacuum1,3,2129,28159,17
vacuum1,4,2133,28096,5
vacuum1,3,2136,28034,21
vacuum1,4,2137,28035,8
vacuum1,3,2138,28030,24
vacuum1,4,2139,28032,12
vacuum1,3,2140,27972,28
vacuum1,4,2141,28033,16
vacuum1,4,2142,27970,4
vacuum1,3,2142,28031,20
vacuum1,4,2142,28033,8
vacuum1,3,2143,27970,24
vacuum1,4,2141,28032,12
vacuum1,3,2143,27972,28
vacuum1,4,2141,28030,16
vacuum1,4,2141,28033,4
vacuum1,3,2138,28094,19
vacuum1,4,2133,28158,7
vacuum1,3,2130,28162,22
vacuum1,4,2133,28157,10
vacuum1,3,2135,28096,26
vacuum1,4,2136,28096,13
vacuum1,4,2204,26845,4
vacuum1,3,2229,26973,24
vacuum1,4,2202,27348,15
vacuum1,4,2176,27657,5
vacuum1,3,2166,27721,21
vacuum1,4,2157,27843,10
vacuum1,3,2150,27905,26
vacuum1,4,2148,27910,15
vacuum1,4,2147,27975,3
vacuum1,3,2147,27912,19
vacuum1,4,2147,27908,7
vacuum1,3,2146,27972,24
vacuum1,4,2147,27969,12
vacuum1,4,2147,27905,0
vacuum1,3,2147,27966,16
vacuum1,4,2145,27969,4
vacuum1,3,2145,27968,20
vacuum1,4,2146,27967,9
vacuum1,3,2147,27964,25
vacuum1,4,2147,27963,13
vacuum1,4,2149,27905,1
vacuum1,3,2147,27907,18
vacuum1,4,2145,27965,6
vacuum1,3,2146,27967,22
vacuum1,4,2147,27908,10
vacuum1,3,2146,27908,26
vacuum1,4,2146,27970,14
